,x,y,z,genus,has_sequences,family,superfamily,suborder,order,nb_species
Hemistigma,0.14209887734523455,-0.8697958288177207,0.4725072753180824,Hemistigma,False,Libellulidae,Libelluloidea,Anisoptera,Odonata,2
Risiophlebia,-0.4703433286353207,-0.8808683222649336,-0.05336808070755092,Risiophlebia,False,Libellulidae,Libelluloidea,Anisoptera,Odonata,2
Phyllothemis,0.719228431825065,-0.020244866016079142,0.6944786593225518,Phyllothemis,False,Libellulidae,Libelluloidea,Anisoptera,Odonata,2
Pseudagrionoptera,0.6934186314347609,-0.7188934262383748,-0.048609086500299103,Pseudagrionoptera,False,Libellulidae,Libelluloidea,Anisoptera,Odonata,1
Chalybeothemis,-0.8467191676721827,0.26797873766254293,-0.4596238105856965,Chalybeothemis,False,Libellulidae,Libelluloidea,Anisoptera,Odonata,3
Nannophlebia,0.4705369401590164,0.7259418592778859,0.5016008421982128,Nannophlebia,False,Libellulidae,Libelluloidea,Anisoptera,Odonata,26
Antidythemis,-0.38849032438792136,0.9143756788481809,0.11398414709026915,Antidythemis,False,Libellulidae,Libelluloidea,Anisoptera,Odonata,2
Lanthanusa,-0.06182628001482766,-0.6559443665301852,0.7522728887291114,Lanthanusa,False,Libellulidae,Libelluloidea,Anisoptera,Odonata,7
Micromacromia,0.7382850665261137,-0.4716312371392469,0.4821816428474183,Micromacromia,False,Libellulidae,Libelluloidea,Anisoptera,Odonata,4
Edonis,-0.2561994550273177,0.35133373065835044,0.9005145467705622,Edonis,False,Libellulidae,Libelluloidea,Anisoptera,Odonata,1
Argyrothemis,0.4498558280745707,0.8736795710458553,0.18523968550090064,Argyrothemis,False,Libellulidae,Libelluloidea,Anisoptera,Odonata,1
Boninthemis,-0.5981749426922532,-0.48499805205243873,0.6379370089910599,Boninthemis,False,Libellulidae,Libelluloidea,Anisoptera,Odonata,1
Bironides,0.9704800995034064,-0.2347012908063679,-0.055530897360687226,Bironides,False,Libellulidae,Libelluloidea,Anisoptera,Odonata,5
Hypothemis,0.770324664563685,0.14147426324916135,-0.6217595548143616,Hypothemis,False,Libellulidae,Libelluloidea,Anisoptera,Odonata,1
Zygonychidium,-0.01948519247206816,0.9443765533580669,0.32828836827073943,Zygonychidium,False,Libellulidae,Libelluloidea,Anisoptera,Odonata,1
Thalassothemis,0.20583009177297978,-0.20689030289886,0.9564676554317686,Thalassothemis,False,Libellulidae,Libelluloidea,Anisoptera,Odonata,1
Viridithemis,0.72892376371869,0.5474007037605098,-0.41112360210607923,Viridithemis,False,Libellulidae,Libelluloidea,Anisoptera,Odonata,1
Calophlebia,-0.9499479554351881,0.2159735928372007,0.22573056762764102,Calophlebia,False,Libellulidae,Libelluloidea,Anisoptera,Odonata,1
Oxythemis,-0.8078268794143431,-0.4991407706320811,-0.3134871990823497,Oxythemis,False,Libellulidae,Libelluloidea,Anisoptera,Odonata,1
Raphismia,0.1002762612619294,-0.9940904922118831,0.04157841653147999,Raphismia,False,Libellulidae,Libelluloidea,Anisoptera,Odonata,2
Olpogastra,0.8151106189081808,0.5500936260386543,0.18163612398079687,Olpogastra,False,Libellulidae,Libelluloidea,Anisoptera,Odonata,1
Nesogonia,-0.2240658930555511,0.5824655981389761,0.7813631054470277,Nesogonia,False,Libellulidae,Libelluloidea,Anisoptera,Odonata,1
Tapeinothemis,-0.3786050663363982,0.33526310132485765,-0.8627032262803065,Tapeinothemis,False,Libellulidae,Libelluloidea,Anisoptera,Odonata,1
Nothodiplax,-0.255859538849725,-0.12502879411278944,0.9585946468775569,Nothodiplax,False,Libellulidae,Libelluloidea,Anisoptera,Odonata,1
Camacinia,-0.08177811654705171,0.9587489723702838,-0.27223656556925174,Camacinia,False,Libellulidae,Libelluloidea,Anisoptera,Odonata,3
Carajathemis,-0.19731170744221585,-0.48823911053086216,0.85011214616324,Carajathemis,False,Libellulidae,Libelluloidea,Anisoptera,Odonata,1
