,x,y,z,genus,has_sequences,family,superfamily,suborder,order,nb_species
Tigriagrion,0.7832148194491061,-0.03396138720181911,0.6208229786135759,Tigriagrion,False,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,1
Fluminagrion,0.591793201045336,0.2100030148469091,-0.7782541621807898,Fluminagrion,False,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,1
Leptocnemis,0.06087150991825099,-0.7465677045802636,-0.6625189218113159,Leptocnemis,False,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,1
Schistolobos,0.003958059357661941,-0.9886784120527079,0.14999777100696238,Schistolobos,False,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,1
Tukanobasis,0.8493693644250411,-0.40353684325083916,-0.3401906802299989,Tukanobasis,False,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,2
Hylaeonympha,0.8312665005090257,0.33385788603085265,0.44444900389863395,Hylaeonympha,False,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,1
Mesamphiagrion,-0.7598902468430311,0.29366930306425687,0.5799354732990482,Mesamphiagrion,False,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,14
Zoniagrion,0.40750015555058233,-0.45177291025222116,0.7936276587849556,Zoniagrion,False,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,1
Antiagrion,0.42646514178881695,-0.8999472756796537,0.09067736120892204,Antiagrion,False,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,4
Plagulibasis,0.3154814573452632,0.9337859862182495,-0.1688643894186102,Plagulibasis,False,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,2
Leucobasis,-0.03370647071158737,-0.5328894914651927,-0.8455132546081919,Leucobasis,False,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,1
Epipotoneura,0.3645564442143771,0.7949096396962831,-0.48499202436709743,Epipotoneura,False,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,2
Amorphostigma,0.0835228512447677,-0.9224322020670657,-0.3770182567325465,Amorphostigma,False,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,3
Proischnura,-0.39110412794740895,0.502225934681967,-0.7712371046800858,Proischnura,False,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,3
Telagrion,-0.5364942541489267,0.8437608339995117,0.015542531120619853,Telagrion,False,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,1
Pacificagrion,-0.01614422842484973,0.9840623107694965,-0.1770896168937219,Pacificagrion,False,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,2
Oreocnemis,-0.18185375592985126,-0.5831852104010282,0.7917223135820503,Oreocnemis,False,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,1
Aceratobasis,-0.9524451613787684,0.24984013377660508,-0.17443658481138533,Aceratobasis,False,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,4
Negragrion,-0.1875934324834721,0.8697041285144335,0.4565341530860738,Negragrion,False,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,1
Caliagrion,-0.7794988797120351,-0.3934686702901159,-0.48740527492817537,Caliagrion,False,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,1
Austrocnemis,-0.6197859156725031,-0.7708046031198025,-0.14739634508128382,Austrocnemis,False,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,3
Phasmoneura,-0.5544773329488384,0.6647485669833735,-0.5006637893232289,Phasmoneura,False,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,2
Austroallagma,-0.2811183738063028,-0.6374083518706055,-0.717414143207463,Austroallagma,False,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,1
Roppaneura,-0.5905417637701469,-0.6012003581099438,0.5383479865771948,Roppaneura,False,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,1
Luzonobasis,0.6512645542351759,-0.04643944881734103,-0.7574284507400016,Luzonobasis,False,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,1
Hivaagrion,0.843135222434984,0.41096080855947337,-0.3467480504886137,Hivaagrion,False,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,2
Andinagrion,-0.6359219525706281,-0.31854575409192,-0.7029451420905971,Andinagrion,False,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,3
Pinheyagrion,0.42724835072211487,-0.19458255507959857,-0.882947606635823,Pinheyagrion,False,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,1
Oreiallagma,0.6042417476679905,-0.18497523813389014,0.7750329487527888,Oreiallagma,False,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,5
Proneura,0.473654917711526,-0.4488948266617744,-0.7577232037650575,Proneura,False,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,1
Angelagrion,-0.8978961469251127,0.32793399585355903,0.29366954847337234,Angelagrion,False,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,2
Denticulobasis,0.7637582634527866,0.5743777075251887,0.29455655502075073,Denticulobasis,False,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,3
Calvertagrion,-0.9339833924114944,-0.003780785590915777,-0.35729641526305855,Calvertagrion,False,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,5
Diceratobasis,-0.08937982361958507,0.6018894045664313,-0.7935618386744657,Diceratobasis,False,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,2
