taxId	scientific name	common name
9657	Lutra lutra	Eurasian river otter
9657	Lutra lutra	European otter
274732	Peristedion gracile	slender searobin
1638738	Phallocottus obtusus	spineless sculpin
1072478	Malacoraja senta	smooth skate
87756	Diplodus vulgaris	common two-banded seabream
443688	Choerodon rubescens	baldchin grouper
990601	Lepidotrigla faurei	scalybreast gurnard
435999	Trachinotus blochii	snubnose pompano
435999	Trachinotus blochii	golden pompano
181671	Leiolepis guttata	spotted butterfly lizard
8327	Triturus dobrogicus	Danube newt
2039365	Eremias nikolskii	Kirghiz racerunner
121169	Limnonectes acanthi	Busuanga wart frog
27590	Tetronarce nobiliana	Atlantic torpedo
341088	Nibea miichthioides	Amoy croaker
2048737	Gymnothorax equatorialis	spottail moray
209618	Empidonax alnorum	alder flycatcher
289485	Sterna dougallii	Roseate tern
1500708	Parvicrepis parvipinnis	little clingfish
6465	Patella vulgata	common limpet
86926	Oregonichthys crameri	Oregon chub
93166	Marmota sibirica	Tarbagan marmot
236591	Noturus elegans	elegant madtom
9906	Bos javanicus	wild banteng
9906	Bos javanicus	banteng
9958	Oryx gazella	gemsbok
64678	Callosciurus notatus	plantain squirrel
495876	Pristis clavata	dwarf sawfish
417467	Carlhubbsia stuarti	barred livebearer
373083	Smilisca sila	Panama cross-banded treefrog
86928	Pogonichthys macrolepidotus	Sacramento splittail
13616	Monodelphis domestica	gray short-tailed opossum
151768	Pionus chalcopterus	Bronze-winged parrot
125284	Lanius bucephalus	bull-headed shrike
2057060	Oxyurichthys auchenolepis	scaly-nape tentacle goby
303933	Carcharhinus altimus	bignose shark
8717	Calloselasma rhodostoma	Malayan pit viper
156987	Batrachuperus londongensis	Longdong stream salamander
323755	Lissotriton italicus	South Italian newt
323755	Lissotriton italicus	Italian newt
161274	Bombina maxima	Chinese red belly toad
161274	Bombina maxima	large-webbed bell toad
676961	Paphia amabilis	short-necked clam
2723871	Phalacrocorax pelagicus	Pelagic cormorant
113540	Scleropages formosus	Asian arowana
113540	Scleropages formosus	Asian bonytongue
113540	Scleropages formosus	golden dragon fish
113540	Scleropages formosus	golden arowana
9453	Lepilemur mustelinus	weasel lemur
9453	Lepilemur mustelinus	weasel sportive lemur
1701144	Lepus tibetanus	desert hare
490318	Cheilodipterus macrodon	large toothed cardinalfish
1267394	Allocricetulus curtatus	Mongolian hamster
59467	Nycteris thebaica	Egyptian slit-faced bat
160760	Spinus spinus	Zeisig
160760	Spinus spinus	Eurasian siskin
160760	Spinus spinus	European siskin
276759	Lanius nubicus	masked shrike
1539424	Duttaphrynus olivaceus	olive toad
1539424	Duttaphrynus olivaceus	Baluchistan coastal toad
1539424	Duttaphrynus olivaceus	Makran toad
98316	Alticola macrotis	large-eared vole
116989	Coturnix pectoralis	stubble quail
997980	Pomacentrus baenschi	Baensch's damsel
390723	Ceyx cyanopectus	Indigo-banded kingfisher
1499491	Sitta yunnanensis	Yunnan nuthatch
126325	Pteronotropis hypselopterus	sailfin shiner
