,x,y,z
Aphididae-3,95.30357783808778,-234.79329437809832,6.5805009139359685
Aphididae-4,97.52425950642902,-234.39987054361842,15.004688609894835
Aphididae-5,93.3957346705086,-235.00463100245423,-0.16488934579758407
Aphrophoridae-1,1.657873623803937,-198.06059298293917,-128.2286263527958
Aphrophoridae-2,7.962316422524661,-202.62691485640795,-124.3111381984308
Aphrophoridae-3,0.8962114763528037,-208.42625928484955,-117.11728770684545
Aphrophoridae-4,6.5584987924865334,-206.90659761561005,-119.37354689606647
Aphrophoridae-5,8.758853155308397,-214.0884795655568,-110.56685911128444
Apidae,-136.16476166609993,-185.59971626111025,-22.12982768309093
Apioceridae,82.8762631720367,104.27385748892505,181.6091240026594
Apionidae,-138.9327526198986,158.95158083601007,24.590012977844424
Apsilocephalidae,65.96737948644106,127.10168516600214,171.1767749638045
Apteropanorpidae,-55.35056426910338,102.65807153013652,208.05352441938453
Aradidae,144.15772040029242,-129.2244070630452,-132.6464076478655
Archeocrypticidae,-155.03687615058223,115.62192873941711,113.7676773216231
Archipsocidae,247.9458453335439,-53.95930804972052,27.478641769501788
Argidae,-148.02118498794712,-157.2698455957118,-64.19916622520142
Argiolestidae,-64.64332677887086,-104.39391143387728,-277.1180136437686
Argyresthiidae,55.475950303263794,-56.12750568935643,199.60954930913297
Arrhenophanidae,-1.794223953916261,-92.98681341854876,198.62374202542424
Artematopodidae,-201.67301074986563,12.050920058962916,108.93008099486313
Arthropleidae,-170.70561007090447,34.19341755120077,-250.4947032569347
Ascalaphidae,-167.49609075459688,-89.86015052815873,154.99896733553865
Aschiphasmatidae,125.0310665957171,39.003610196898826,-223.92267430166896
Asilidae,86.27224428085925,101.69975422543423,181.53978116884187
Asiopsocidae,247.0892489844846,-57.08534081430314,19.624767884967227
Aspidytidae,-198.6287948871458,-41.53989833407593,-37.44225312271764
Asteiidae,116.71931151293948,126.10485114705138,118.05951079982889
Asterolecaniidae,156.12547283665285,-198.97840515966286,12.459026804505841
Atelestidae,83.70284844915521,151.12219738504427,126.2846779019313
Athaliidae,-163.51686375837895,-150.8725231804012,-56.835928186914785
Athericidae,48.516678363696755,168.62675024297928,126.19166485206985
Atriplectididae,-56.79431329821234,-48.8001157155101,216.40016196909355
Attelabidae,-135.52981235388629,158.22836886484237,41.55174078472042
Attevidae,57.63269686768145,-54.70373977952625,198.64353581751942
Aulacidae,-99.95541677639918,-210.10633910393895,-4.69756991588684
Aulacigastridae,113.54015102413554,126.85542102578725,117.66111007296132
Australembiidae,78.5336658066352,38.32104783658778,-242.57955153631676
Australimyzidae,117.42793436166227,129.7915137995618,120.0698961512126
Austroleptidae,133.7414648883069,75.00900916873753,162.40171638196514
Austroperlidae,73.11518624062057,255.06042649569773,-67.01470817843934
Austropetaliidae,-101.49480178497006,-138.90207393236287,-251.31259962347445
Austrophasmatidae,88.3815111888286,19.52140785347771,-242.54927447497215
Autostichidae,53.77632755235964,-71.64283066011812,199.71776761648735
Axymyiidae,160.55550059834312,56.6732598888013,139.08731786493942
Bacillidae-1,121.02313339102155,56.23138989033475,-221.76154359073945
Bacillidae-2,120.66159793752688,59.344334672242205,-221.11420958281968
Baetidae,-193.28257027478938,53.01957543447714,-232.65282107718386
Baetiscidae,-214.8306524153823,20.143270575374554,-219.80663172682745
Barbarochthonidae,-59.01059505999212,-28.42156544676706,217.3156590808011
Batrachedridae,71.54069148586169,-64.6270081047237,195.14566278704925
Bedelliidae,61.958746140211964,-55.60464204937998,202.03038391755905
Beesoniidae,159.23739257352497,-195.18856700406124,-0.7948487375750857
Behningiidae,-196.8668063973707,11.040430344550456,-234.08045811128198
Belidae,-145.59262964306606,148.46919784533443,2.401682519338795
Belostomatidae,86.1372945969976,-141.98856634726718,-161.3867632133108
Beraeidae,-52.5595687575708,-22.735414004276812,220.2864396442929
Berothidae-1,-30.866468099113796,224.9787092344478,62.19541971655332
Berothidae-2,-42.100473303704064,224.43849697724306,64.4880544169152
Berytidae-1,137.00755255618105,-147.8372228056491,-124.81760806123054
Berytidae-2,162.35445723416032,-152.48959214735953,-90.6120334899417
Bethylidae,-118.94995237634842,-195.85303487885136,-21.49102725061824
Bibionidae,40.739534463235195,156.9155913461442,153.32974061366215
Biphyllidae,-168.0186519382026,70.46881097015009,-30.9638576083474
Bittacidae,-65.7435759543879,71.69894686299853,218.82234372582607
Blaberidae,74.0869112753173,211.3857327259299,-138.69559443374317
Blasticotomidae,-141.02552210201577,-158.58840183451872,-67.41917834867293
Blastobasidae,26.7293670481659,-70.03362945662687,204.40528613157377
Blattidae,58.24022134543873,228.7600892619423,-121.16574964266445
Blephariceridae,155.26307972215307,69.78532941985618,134.84964850570444
Blissidae,141.78041990631604,-135.86491269129593,-130.3452749020473
Boganiidae,-159.6290616063242,133.68545443104227,45.15551660005095
Bolboceratidae-1,-202.61425346607462,-17.845254055654284,95.00678436618784
Bolboceratidae-2,-201.3513268585649,-23.94104799729351,93.09035383610957
Bombycidae-1,48.23631960713531,-94.52693723519987,180.90016913290046
Bombycidae-2,47.9403267945882,-93.06278164838675,188.2568898602486
Bombyliidae-1,106.54661863073267,96.65185268052656,170.31693795546755
Bombyliidae-2,75.69979273324097,111.40329522217796,180.25196901157548
Bombyliidae-3,72.841328276161,111.54770292060448,180.25863056504969
Bombyliidae-4,60.05839272199202,120.82696223830975,179.14252371769592
Boopidae,240.1444617043621,-44.70163851727558,-44.48901928454442
Boreidae,-49.73267520642308,108.71079367442218,206.7488384070007
Boridae,-155.85329677494258,136.78182929710962,84.05485392918898
Bostrichidae,-209.34160625875208,39.685538797483524,70.1932241086445
Bothrideridae-1,-199.28524990682212,89.10979929511541,7.449819313767524
Bothrideridae-2,-203.216640779295,83.32566440139718,29.130519845806795
Bothrideridae-3,-201.90535261834785,81.44386010437069,12.317652982641953
Bothrideridae-4,-205.95495704477554,69.81673616534904,30.283322851679024
Bovicoliidae,248.1877418116761,-13.286452819803369,-18.464463923501352
Brachodidae,82.34876427101459,-67.7980416292805,190.5042357603122
Brachycentridae,-57.53901625508204,-58.47152746117856,214.06892222958155
Brachyceridae-1,-147.82906610282288,152.71752002723926,14.904177523845755
Brachyceridae-2,-143.06080179142293,153.13696887969274,11.982267492564757
Brachyceridae-3,-152.88355787587264,151.0425140223351,20.3713224978538
Braconidae,-88.73103264484256,-217.0890237452167,12.46016524622169
Bradynobaenidae,-139.5267451058773,-192.10831495921823,13.226322012107392
Brahmaeidae,54.41088907932019,-102.06522573360576,180.8965523692762
Braulidae,118.1906026269914,105.4314248181602,150.434451465515
Brentidae-1,-138.98061619015957,148.65865466070753,28.703083431628823
Brentidae-2,-139.9670595534451,156.56798019897894,17.236227145351016
Brentidae-3,-136.85655621621274,157.4679123912314,29.72213173530734
Brentidae-4,-135.52450423734714,154.71967447473074,24.77837493625558
Brentidae-5,-143.15795817740027,158.47646307636035,30.012300497366684
Brentidae-6,-152.2727796243604,151.80948506348182,27.908175819173085
Brentidae-7,-148.672880007802,154.04216318410653,32.78073369060216
Bucculatricidae,70.70329651529,-50.9605626165385,194.87406618201808
Buprestidae,-182.11618983377858,18.130657712368098,139.71839554429505
