,x,y,z,phylum,kingdom,superkingdom,class,phylum_eng,kingdom_eng,superkingdom_eng,class_eng
Hyperoartia|lampreys,-3923.4001893232135,-32828.72191212571,-20448.94790566759,Chordata,Metazoa,Eukaryota,Hyperoartia,chordates,multicellular animals,eukaryotes,fishes
Ichthyosporea,36321.29763808063,-23649.99861225872,9483.891831871975,,,Eukaryota,Ichthyosporea,,,eukaryotes,Ichthyosporea
Ichthyostraca,15478.662998142228,-37667.88689291364,-11594.71610713667,Arthropoda,Metazoa,Eukaryota,Ichthyostraca,arthropods,multicellular animals,eukaryotes,Ichthyostraca
Imbricatea,-5737.375348194403,30680.54120373544,16962.96711514923,Cercozoa,,Eukaryota,Imbricatea,Cercozoa,,eukaryotes,Imbricatea
Insecta|true insects,18282.86222295288,-37383.470217137714,-5466.692087671327,Arthropoda,Metazoa,Eukaryota,Insecta,arthropods,multicellular animals,eukaryotes,true insects
Jungermanniopsida,-25611.49402357904,19197.623644004987,-22056.154765028023,Streptophyta,Viridiplantae,Eukaryota,Jungermanniopsida,Streptophyta,green plants,eukaryotes,Jungermanniopsida
Kickxellomycetes,16984.836243445672,1869.833374836849,-37466.24821486849,Zoopagomycota,Fungi,Eukaryota,Kickxellomycetes,Zoopagomycota,Fungi,eukaryotes,Kickxellomycetes
Kinetoplastea|kinetoplasts,38750.36637029673,-4272.562434201784,34764.5852673559,Euglenozoa,,Eukaryota,Kinetoplastea,Euglenozoa,,eukaryotes,kinetoplasts
Klebsormidiophyceae,-31813.885758189645,18456.230153764733,-161.7091240437221,Streptophyta,Viridiplantae,Eukaryota,Klebsormidiophyceae,Streptophyta,green plants,eukaryotes,Klebsormidiophyceae
Lecanoromycetes,37990.130731213954,281.1230351063168,-19572.0232945486,Ascomycota,Fungi,Eukaryota,Lecanoromycetes,ascomycetes,Fungi,eukaryotes,Lecanoromycetes
Leiosporocerotopsida,-27944.110398742,19107.95806621109,-17166.911483794487,Streptophyta,Viridiplantae,Eukaryota,Leiosporocerotopsida,Streptophyta,green plants,eukaryotes,Leiosporocerotopsida
Leotiomycetes,38000.120420068015,1628.2177148753872,-18381.297463827366,Ascomycota,Fungi,Eukaryota,Leotiomycetes,ascomycetes,Fungi,eukaryotes,Leotiomycetes
Lepidosauria|lepidosaurs,780.2377523735881,-30685.46987666692,-23230.07766893287,Chordata,Metazoa,Eukaryota,Lepidosauria,chordates,multicellular animals,eukaryotes,lepidosaurs
Leptocardii,6878.601767039789,-32602.862839531816,-23166.658473028227,Chordata,Metazoa,Eukaryota,Leptocardii,chordates,multicellular animals,eukaryotes,Leptocardii
Lichinomycetes,37059.88639647744,4276.468192001212,-17739.492359883912,Ascomycota,Fungi,Eukaryota,Lichinomycetes,ascomycetes,Fungi,eukaryotes,Lichinomycetes
