,x,y,z,order,name
Sciuridae,-459.0594349500967,-31647.57289284827,-23008.118899715693,Rodentia,Sciuridae
Geomyidae,-460.99077321185683,-31643.95005549422,-23003.91989428405,Rodentia,Geomyidae
Heteromyidae,-461.5140207117297,-31645.343752508325,-23003.61240244079,Rodentia,Heteromyidae
Castoridae,-460.34814934534944,-31645.732581570555,-23002.108562270307,Rodentia,Castoridae
Muridae,-459.15922847772197,-31649.19004873436,-23004.23967421778,Rodentia,Muridae
Spalacidae,-460.85224230312974,-31647.81781089584,-23003.72884269746,Rodentia,Spalacidae
Calomyscidae,-460.49854074541344,-31648.44383838118,-23005.84927526936,Rodentia,Calomyscidae
Nesomyidae,-461.2645095971808,-31647.65608611623,-23005.028379453088,Rodentia,Nesomyidae
Cricetidae,-459.8043407931845,-31648.412241245158,-23003.16825609114,Rodentia,Cricetidae
Platacanthomyidae,-460.2595092993913,-31648.748019678755,-23004.653890103305,Rodentia,Platacanthomyidae
Dipodidae,-459.0670980475596,-31649.204775814775,-23005.936625263246,Rodentia,Dipodidae
Pedetidae,-461.5790647532662,-31645.05648209072,-23006.07027683312,Rodentia,Pedetidae
Anomaluridae,-460.940181175281,-31644.083014547617,-23006.443239059896,Rodentia,Anomaluridae
