,x0,xup,y0,yup,z0,zup
branch_Podargidae,0.05510811973329493,0.02450609571352055,0.5862902787954157,0.3722767910639018,-0.0817523454531764,-0.09043210730582152
branch_43,0.46048189744868473,0.40675439038847894,0.027130858853073026,-0.03952533599508728,-0.026236813160178812,0.013102461499219254
branch_Cathartidae,0.7436121041432517,0.40675439038847894,-0.19150762592135187,-0.03952533599508728,0.09209130823095278,0.013102461499219254
branch_44,0.320311668090927,0.35207132018886783,-0.11299022481872703,-0.07675405591634438,0.2025289646308806,0.16103837574887386
branch_Strigiformes,0.46712792610320336,0.35207132018886783,-0.05070191291380564,-0.07675405591634438,0.14729686025348027,0.16103837574887386
branch_Falconidae,0.5689699472304931,0.3732173848758482,-0.09265413720809271,-0.11109224039936741,-0.08617723417497337,-0.024317283041052084
branch_45,0.3493695471352917,0.3732173848758482,-0.20974193525925183,-0.11109224039936741,0.0449343128151482,-0.024317283041052084
branch_46,0.2993004949579333,0.28493751964420816,0.2992527681049243,0.31015476084907245,-0.014227414348172315,-0.034034658228665644
branch_47,0.2794482910174311,0.28493751964420816,0.33099917184351224,0.31015476084907245,-0.055131643978979364,-0.034034658228665644
branch_Rhynochetidae,0.5150244229855853,0.34040411911999,0.7802431339339937,0.521315672629636,-0.3549197619072624,-0.2883455832386605
branch_Eurypygidae,0.47470149695417546,0.34040411911999,0.7354836293209264,0.521315672629636,-0.483445820651584,-0.2883455832386605
branch_48,0.2118241364668638,0.2319409687715957,0.3919372892510868,0.2887979013580407,0.3513948311429877,0.3189597474495268
branch_Turnicidae,0.5644740474977133,0.2319409687715957,0.47980493967974347,0.2887979013580407,0.6716808579296479,0.3189597474495268
branch_49,0.44128067473590826,0.3796419076271152,0.3419375509784246,0.3453985122444474,0.2855925087204524,0.2186157095782569
branch_Scolopacidae,0.39339785793948456,0.3796419076271152,0.4151358471633747,0.3453985122444474,0.19628030144036782,0.2186157095782569
branch_Charadriidae,0.26275668774881733,0.23862688612387076,0.5661945001417841,0.46142503481740554,0.1822486641489296,0.12152067582565737
branch_50,0.2889189229274198,0.23862688612387076,0.5056631689240751,0.46142503481740554,0.10294369156772637,0.12152067582565737
