x,y,z,phylum,kingdom,superkingdom,class,phylum_eng,kingdom_eng,superkingdom_eng,class_eng
-0.643759318,0.698519314,-0.312481533,Streptophyta,Viridiplantae,Eukaryota,Lycopodiopsida,Streptophyta,green plants,eukaryotes,club mosses
-0.798977282,0.333730801,-0.500258989,Streptophyta,Viridiplantae,Eukaryota,Magnoliopsida,Streptophyta,green plants,eukaryotes,angiosperms
0.700916189,-0.710562481,0.061785572,Arthropoda,Metazoa,Eukaryota,Malacostraca,arthropods,multicellular animals,eukaryotes,Malacostraca
0.351597673,0.475637939,-0.806317324,Basidiomycota,Fungi,Eukaryota,Malasseziomycetes,basidiomycetes,Fungi,eukaryotes,Malasseziomycetes
-0.992603185,0.005249941,0.121290378,Chlorophyta,Viridiplantae,Eukaryota,Mamiellophyceae,green algae,green plants,eukaryotes,Mamiellophyceae
-0.154830555,-0.655394496,-0.739246613,Chordata,Metazoa,Eukaryota,Mammalia,chordates,multicellular animals,eukaryotes,mammals
-0.544593278,0.818321727,-0.18375993,Streptophyta,Viridiplantae,Eukaryota,Marchantiopsida,Streptophyta,green plants,eukaryotes,Marchantiopsida
-0.002023692,0.786458318,0.617640039,Bacillariophyta,,Eukaryota,Mediophyceae,diatoms,,eukaryotes,Mediophyceae
-0.362092498,0.482910217,0.797299658,Bacillariophyta,,Eukaryota,Mediophyceae,diatoms,,eukaryotes,Mediophyceae
-0.219880508,0.37241688,0.901641963,Bacillariophyta,,Eukaryota,Mediophyceae,diatoms,,eukaryotes,Mediophyceae
-0.036409715,0.56307858,0.8256009,Bacillariophyta,,Eukaryota,Mediophyceae,diatoms,,eukaryotes,Mediophyceae
-0.143042555,0.639441108,0.755416373,Bacillariophyta,,Eukaryota,Mediophyceae,diatoms,,eukaryotes,Mediophyceae
-0.304628575,0.635275994,0.709666008,Bacillariophyta,,Eukaryota,Mediophyceae,diatoms,,eukaryotes,Mediophyceae
0.5797954,-0.797813867,0.165318868,Arthropoda,Metazoa,Eukaryota,Merostomata,arthropods,multicellular animals,eukaryotes,horseshoe crabs
-0.966240596,0.147864717,0.210986104,Streptophyta,Viridiplantae,Eukaryota,Mesostigmatophyceae,Streptophyta,green plants,eukaryotes,Mesostigmatophyceae
-0.837378028,0.468729714,0.28123032,Streptophyta,Viridiplantae,Eukaryota,Mesostigmatophyceae,Streptophyta,green plants,eukaryotes,Mesostigmatophyceae
0.396738264,-0.189957493,-0.898061747,Basidiomycota,Fungi,Eukaryota,Microbotryomycetes,basidiomycetes,Fungi,eukaryotes,Microbotryomycetes
0.981705264,-0.190404391,-0.000970639,Chytridiomycota,Fungi,Eukaryota,Monoblepharidomycetes,Chytridiomycota,Fungi,eukaryotes,Monoblepharidomycetes
0.125793425,-0.7945368,0.59404317,Platyhelminthes,Metazoa,Eukaryota,Monogenea,flatworms,multicellular animals,eukaryotes,Monogenea
0.145070843,-0.947949493,0.28345407,Mollusca,Metazoa,Eukaryota,Monoplacophora,molluscs,multicellular animals,eukaryotes,Monoplacophora
0.10947704,0.052705184,-0.992591024,Mucoromycota,Fungi,Eukaryota,Mucoromycetes,Mucoromycota,Fungi,eukaryotes,Mucoromycetes
0.539666696,-0.738098602,-0.404932478,Arthropoda,Metazoa,Eukaryota,Mystacocarida,arthropods,multicellular animals,eukaryotes,mustache shrimps
-0.403742742,-0.631400001,-0.662061807,Chordata,Metazoa,Eukaryota,Myxini,chordates,multicellular animals,eukaryotes,fishes
0.736579996,-0.600623608,0.310968151,Cnidaria,Metazoa,Eukaryota,Myxozoa,coelenterates,multicellular animals,eukaryotes,Myxozoa
0.994625326,0.069661024,0.076601583,Chytridiomycota,Fungi,Eukaryota,Neocallimastigomycetes,Chytridiomycota,Fungi,eukaryotes,Neocallimastigomycetes
0.745586928,0.339502086,-0.573444389,Ascomycota,Fungi,Eukaryota,Neolectomycetes,ascomycetes,Fungi,eukaryotes,Neolectomycetes
-0.79495334,0.556593571,-0.241356134,Streptophyta,Viridiplantae,Eukaryota,Oedipodiopsida,Streptophyta,green plants,eukaryotes,Oedipodiopsida
0.220497908,0.890276946,0.398481657,Ciliophora,,Eukaryota,Oligohymenophorea,ciliates,,eukaryotes,Oligohymenophorea
-0.384760665,-0.851415174,-0.356442747,Echinodermata,Metazoa,Eukaryota,Ophiuroidea,echinoderms,multicellular animals,eukaryotes,brittle stars
0.726451048,0.060743337,-0.684528394,Ascomycota,Fungi,Eukaryota,Orbiliomycetes,ascomycetes,Fungi,eukaryotes,Orbiliomycetes
0.439386754,-0.767588918,-0.466633189,Arthropoda,Metazoa,Eukaryota,Ostracoda,arthropods,multicellular animals,eukaryotes,mussel shrimps
-0.326778198,0.936684294,-0.125851274,Chlorophyta,Viridiplantae,Eukaryota,Palmophyllophyceae,green algae,green plants,eukaryotes,Palmophyllophyceae
0.413870277,-0.709007269,-0.570981686,Arthropoda,Metazoa,Eukaryota,Pauropoda,arthropods,multicellular animals,eukaryotes,pauropods
-0.399399172,0.133353188,0.907026587,,,Eukaryota,Pelagophyceae,,,eukaryotes,pelagophytes
0.775494512,-0.139504711,-0.615748891,Ascomycota,Fungi,Eukaryota,Pezizomycetes,ascomycetes,Fungi,eukaryotes,Pezizomycetes
-0.511369735,0.529554505,0.676810919,,,Eukaryota,Phaeophyceae,,,eukaryotes,brown algae
-0.392462345,0.692532466,0.605286784,,,Eukaryota,Phaeothamniophyceae,,,eukaryotes,Phaeothamniophyceae
0.168825751,0.939977238,0.296547902,Ciliophora,,Eukaryota,Phyllopharyngea,ciliates,,eukaryotes,Phyllopharyngea
0.943088385,0.301573452,0.140134759,Blastocladiomycota,Fungi,Eukaryota,Physodermatomycetes,Blastocladiomycota,Fungi,eukaryotes,Physodermatomycetes
-0.167372801,0.937141016,0.306191217,Endomyxa,,Eukaryota,Phytomyxea,Endomyxa,,eukaryotes,Phytomyxea
-0.385827257,-0.903376605,0.18721121,Nemertea,Metazoa,Eukaryota,Pilidiophora,ribbon worms,multicellular animals,eukaryotes,Pilidiophora
-0.509016587,0.008306478,0.86071663,,,Eukaryota,Pinguiophyceae,,,eukaryotes,Pinguiophyceae
-0.758032913,0.44018587,-0.481271756,Streptophyta,Viridiplantae,Eukaryota,Pinopsida,Streptophyta,green plants,eukaryotes,Pinopsida
0.727596885,0.632212951,-0.266288485,Ascomycota,Fungi,Eukaryota,Pneumocystidomycetes,ascomycetes,Fungi,eukaryotes,Pneumocystidomycetes
-0.239145157,-0.863757658,0.443545152,Annelida,Metazoa,Eukaryota,Polychaeta,annelid worms,multicellular animals,eukaryotes,polychaetes
-0.052745099,0.936740675,0.346027256,,,Eukaryota,Polycystinea,,,eukaryotes,Polycystinea
0.118498244,-0.944154514,0.307457998,Mollusca,Metazoa,Eukaryota,Polyplacophora,molluscs,multicellular animals,eukaryotes,chitons
