seqid,x,y,z
GBIR4723-13,-0.2321262770170626,-0.12973798257457023,0.12774065037952317
GBIR520-07,-0.2333943881308576,-0.14468793840272703,0.13062857770099795
GBIR521-07,-0.2238732801083702,-0.12889799824900056,0.11697727411438605
GBIR525-07,-0.19355546172484736,-0.13078477874426822,0.06137016023674637
BBIND322-08,-0.2332243358399747,-0.15137002524919088,0.12036727533929362
BBIND349-08,-0.17913986586037614,-0.15627823242846878,0.04316791769413238
BBIND531-08,-0.23746546437601151,-0.15562170641393633,0.10183167894550305
BON039-06,-0.2299379570013099,-0.13165585027767482,0.11528245306880772
BON040-06,-0.23156227467997725,-0.1290710466009015,0.11237690359533548
BON276-07,-0.24695479644100274,-0.1465082201183886,0.14467053025508805
BROMB357-06,-0.14071176005348868,-0.22785914818138694,0.10516758380431249
BROMB637-07,-0.0595356435415191,-0.0937567656406852,-0.06848411771779789
BSBNA481-06,-0.11411669261420598,-0.2197997735608471,0.09382039184224793
BSBNA482-06,-0.11411669261420598,-0.2197997735608471,0.09382039184224793
BSBNA483-06,-0.11411669261420598,-0.2197997735608471,0.09382039184224793
CDANS017-05,-0.23757979681945646,-0.3709539741846536,0.08639069872630495
GBIR1412-09,-0.2418406580332324,-0.14672394635096442,0.141317465690481
NLAVE434-11,-0.2418406580332324,-0.14672394635096442,0.141317465690481
ROMC275-07,-0.24714772014021502,-0.14352519614752518,0.14599555668894396
ROMC276-07,-0.2418406580332324,-0.14672394635096442,0.141317465690481
TZBNA612-03,-0.14986493505618997,-0.22488999759651815,0.09053651218091832
KAARG136-07,-0.0072915565003442845,0.029395476325477458,0.17258704459785446
KAARG624-07,-0.008483796919526216,0.029072959458226032,0.1664653392331242
KPARG140-08,-0.0072915565003442845,0.029395476325477458,0.17258704459785446
BABNA060-06,-0.28998680267289995,-0.15546044060085001,0.08905459841395308
BABNA061-06,-0.28799872678130994,-0.15960653152318324,0.08852320050181126
BBIND034-08,-0.216150836901523,-0.14797374656310275,0.08848165413843377
BBIND040-08,-0.216150836901523,-0.14797374656310275,0.08848165413843377
BBIND087-08,-0.216150836901523,-0.14797374656310275,0.08848165413843377
BBIND252-08,-0.216150836901523,-0.14797374656310275,0.08848165413843377
