,x,y,z
Aulacidae,61.083331314217325,208.7999329413523,118.00832341249915
Aulacigastridae,195.12101873541422,-4.655395099675165,85.83215375127526
Australembiidae,-105.4268758224955,-229.3090179202994,-85.47615795827264
Australimyzidae,190.21175342102734,11.123429739950778,111.3964613235942
Austroleptidae,154.00434778805715,-6.631862930818833,167.58193758167477
Austroperlidae,-137.62492953627998,-22.1547492269012,-225.84065248139007
Austropetaliidae,211.0872305152116,-177.99195838451348,-133.56308889691985
Austrophasmatidae,-92.25739939743916,-243.7291434934183,-66.67426482581854
Autostichidae,55.401923321667915,-156.55557258145797,131.03213907833614
Axymyiidae,108.43495282552203,60.84874494089932,189.5366615476365
Bacillidae-1,-70.4049267746055,-226.45207601369935,-113.44849537476927
Bacillidae-2,-68.0056111214246,-228.62593699986797,-111.07951460707721
Baetidae,121.95562937669064,-54.1847753124479,-273.0118955697605
Baetiscidae,149.14597902963212,-32.255321629363394,-263.86977063882887
Barbarochthonidae,141.11306357672908,-142.80980334627472,73.84439289160018
Batrachedridae,52.657653976456224,-160.95664932720877,125.61535726353195
Bedelliidae,6.086999859037674,-142.9947720240401,156.70989393016575
Beesoniidae,-109.79885284533215,209.83882757960808,-85.9502725793483
Behningiidae,166.08250968139544,-39.27813943824205,-252.57237505931096
Belidae,-154.0088246085804,129.96205879575697,78.04353168260093
Belostomatidae,-58.6301801984716,124.06702933004796,-193.12561639361988
Beraeidae,144.79944517026763,-136.43710896898764,71.8848002433706
Berothidae-1,-139.4029612088813,-141.03236781755663,137.5173073563775
Berothidae-2,27.9638274366374,128.56944402741544,209.06687153030006
Berytidae-1,27.290658248789512,140.90504810681728,-186.61414470260803
Berytidae-2,-16.52179475209988,156.17600369529936,-180.15876207182907
Bethylidae,86.70622326392697,219.07419383611543,21.118556560522446
Bibionidae,138.56778666605433,33.041383872842886,170.88983152201354
Biphyllidae,-108.92951028845955,119.73517533014561,157.79194027167796
Bittacidae,60.95250484599823,19.103316821993044,228.36480780816163
Blaberidae,-168.36261105633994,-157.42443507795835,-125.22948339311013
Blasticotomidae,-10.897096890613104,238.58407392775177,42.582238151974444
Blastobasidae,28.727379843715156,-125.56087654228055,174.6743687554249
Blattidae,-189.0004315501496,-153.26323418555415,-102.96891607143927
Blephariceridae,200.99913164935907,-10.028456313886576,34.8913688672787
Blissidae,-1.6416658646723572,138.4307181153112,-191.30760892606497
Boganiidae,-165.34922181180707,103.85471373688068,112.62377505889515
Bolboceratidae-1,-174.43421901315443,-51.19539264629981,126.05713456556681
Bolboceratidae-2,-171.9874310517333,-49.42814670035246,131.71088161214303
Bombycidae-1,14.981963476522449,-161.64264900105667,122.58353424228844
Bombycidae-2,10.788328562151603,-165.43287020469123,123.8926396966253
Bombyliidae-1,176.45309056297978,47.53752432955844,114.4927313110261
Bombyliidae-2,165.89133859446105,39.80328655703977,138.44133499849622
Bombyliidae-3,165.42383976242576,44.311771272533356,135.17068392123534
Bombyliidae-4,167.29325991198235,-3.287535445574976,150.01851834666945
Boopidae,188.55677391085,48.37415014826139,-134.78704932851224
Boreidae,55.4935586295243,19.550441033318542,229.3568618242163
Boridae,-192.44875720358098,75.07649724272649,62.33573407402819
Bostrichidae,-112.54748609802334,88.7646291846028,177.71956159227307
Bothrideridae-1,-135.65957183105982,83.55284655679071,158.42825290167505
Bothrideridae-2,-140.51715815925988,72.66824906686813,159.5701536567525
Bothrideridae-3,-144.53481295223798,56.177432782269875,160.35954334427126
Bothrideridae-4,-154.39601427346676,69.36983410846202,151.03260061115552
Bovicoliidae,179.00679508815452,122.67369047877861,-121.56912092970907
Brachodidae,53.1185471270987,-147.63272689044857,145.88498339170647
Brachycentridae,132.10320833198813,-144.0192795579986,47.20373284257746
Brachyceridae-1,-164.92718183875633,117.35102025131903,68.85387152283805
Brachyceridae-2,-158.70143433754131,120.03223888703265,71.61900943984783
Brachyceridae-3,-172.02568188070398,108.43915942257632,82.54388105629431
Braconidae,116.89303931593358,196.81910973845527,91.45817011002056
Bradynobaenidae,103.06471840128276,212.01244647604605,46.81494595022219
Brahmaeidae,20.79436979208498,-168.37913050972483,118.4236883821946
Braulidae,186.3793211101412,32.44547260034823,91.4105610901988
Brentidae-1,-160.34207311097865,112.65058550333224,68.87614787228294
Brentidae-2,-168.93723569902423,111.56988751342354,67.12178691762648
Brentidae-3,-162.25579796184357,121.28520318302178,75.96545313847614
Brentidae-4,-166.86899739193157,118.32324284185766,75.26599152907643
Brentidae-5,-155.15182515657185,112.75801070116019,75.74377304248021
Brentidae-6,-174.5296276914643,104.9417581826676,77.9970223829381
Brentidae-7,-174.87475411477928,105.12621156338545,71.5682354591703
