,x_present,y_present,z_present,x_split,y_split,z_split
branch_Tinamidae,-0.09418969403624508,-0.6906133190718401,-0.7089512567950883,-0.09411739442621736,-0.691043359484888,-0.7130513655691946
branch_Todidae,-0.08832803456735554,-0.6939799140607046,-0.7123894666399668,-0.0901039647684152,-0.6931767179655512,-0.7136120043299228
branch_Trochilidae,-0.0933179871814604,-0.6849050549860353,-0.7198790434040258,-0.09355016778334843,-0.6869349225424867,-0.7187693188888779
branch_Trogonidae,-0.08993283140454125,-0.6939975651290212,-0.710740733368924,-0.09118802467001087,-0.6932037491047175,-0.7124423116941161
branch_Turdidae,-0.09703956572129041,-0.6979256230571957,-0.7182088131054333,-0.096918959878004,-0.6976610306997831,-0.7181329768950003
branch_Turnicidae,-0.08986807373207253,-0.6878250387610289,-0.7113474941173838,-0.08986807605640218,-0.6878250407367172,-0.711347496883158
branch_Tyrannidae,-0.08989795241031567,-0.6962351126647026,-0.7201192133121477,-0.09118496775548689,-0.6947360001340545,-0.7189488798762869
branch_Tytonidae,-0.086999508580961,-0.6926729808578487,-0.7144269161930366,-0.08923474058544895,-0.6922660724313429,-0.7150310144667772
branch_Upupidae,-0.09048051383360049,-0.691421236744354,-0.7098291491156309,-0.09048051796568952,-0.6914212367057034,-0.7098291566268783
branch_Vangidae,-0.09645762514813008,-0.6895610504523426,-0.7231208221767138,-0.09601033781917212,-0.6899017589188985,-0.7218551582946806
branch_Vireonidae,-0.09403037148602564,-0.6911578642044707,-0.723756693846312,-0.09403037151249959,-0.6911578644134665,-0.7237566870992908
branch_Zosteropidae,-0.09660371932589794,-0.6974512459795962,-0.7128857796787585,-0.0966037186320188,-0.6974512443259201,-0.7128857806194434
