x,y,z,order,family,order_eng,family_eng
-0.10004661555865532,-0.6921300563906742,-0.7120060858072396,Passeriformes,Cinclidae,song birds,Cinclidae
-0.09317541791470091,-0.6973008538583876,-0.7119316061888632,Passeriformes,Cisticolidae,song birds,Cisticolidae
-0.09423370238232857,-0.6986225775122652,-0.7146727723809788,Passeriformes,Climacteridae,song birds,Climacteridae
-0.08725465630251218,-0.6936491688021622,-0.7144072589933783,Coliiformes,Coliidae,mousebirds,Coliidae
-0.09661883861478929,-0.6844310390223213,-0.7167703844349799,Columbiformes,Columbidae,pigeons and others,pigeons
-0.09366832140868162,-0.6978804363456627,-0.7127533495202608,Passeriformes,Conopophagidae,song birds,Conopophagidae
-0.08787661476421126,-0.6933467741133237,-0.712719703699587,Coraciiformes,Coraciidae,kingfishers and others,Coraciidae
-0.09747099047810048,-0.6907850833526816,-0.7229026304795846,Passeriformes,Corcoracidae,song birds,Australian choughs
-0.09457813044498699,-0.6938479440297801,-0.7233216860456724,Passeriformes,Corvidae,song birds,Corvidae
-0.08955250582296818,-0.694766482228091,-0.7211730513352107,Passeriformes,Cotingidae,song birds,Cotingidae
-0.09530878005534212,-0.6873101840676724,-0.7102564367103846,Galliformes,Cracidae,landfowls,Cracidae
-0.09727753719217754,-0.6850275327498978,-0.7142546947923357,Cuculiformes,Cuculidae,cuckoos and others,cuckoos
-0.0931094254524656,-0.6975969401823285,-0.7202946662402472,Passeriformes,Dasyornithidae,song birds,Dasyornithidae
-0.10074135220342736,-0.6907616098829155,-0.7131574625765355,Passeriformes,Dicaeidae,song birds,Dicaeidae
-0.0964566226520299,-0.6919179674482436,-0.72334270433427,Passeriformes,Dicruridae,song birds,Dicruridae
-0.0951151373237563,-0.6897285532704702,-0.7091747621748343,Dinornithiformes,Dinornithidae,moas,Dinornithidae
-0.089264814484883,-0.68584437478166,-0.717525654599016,Procellariiformes,Diomedeidae,petrels and albatrosses,Diomedeidae
-0.0907994460861255,-0.6875521645115541,-0.7108763801805978,Charadriiformes,Dromadidae,shorebirds and others,Dromadidae
-0.10136532691829112,-0.691086977585405,-0.7176272957242081,Passeriformes,Emberizidae,song birds,Emberizidae
