,x0,xup,y0,yup,z0,zup
branch_29,-0.09159175434266757,-0.09216995539019043,-0.689569464497482,-0.6894401715080891,-0.7158506098375327,-0.7168303000032761
branch_30,-0.09263313884048402,-0.09216995539019043,-0.6892760107204655,-0.6894401715080891,-0.7177096115673782,-0.7168303000032761
branch_31,-0.09205364458292872,-0.0926668829591184,-0.6892881826313649,-0.6889781572599583,-0.7145252111941908,-0.714952966372014
branch_32,-0.09311632004723136,-0.0926668829591184,-0.688463752785748,-0.6889781572599583,-0.715228592263793,-0.714952966372014
branch_33,-0.09308954145548766,-0.09272101417972549,-0.6904101436269038,-0.6905116020695602,-0.7133492095352413,-0.7138726050187943
branch_34,-0.0916311365814322,-0.09272101417972549,-0.6902188429069036,-0.6905116020695602,-0.7133423003361423,-0.7138726050187943
branch_35,-0.09387752654721492,-0.09364993342125502,-0.6886234747675137,-0.6887521348049811,-0.7170064516274562,-0.7168724910728366
branch_Nyctibiidae,-0.09296076664521485,-0.09364993342125502,-0.6868808662580361,-0.6887521348049811,-0.7170808016649074,-0.7168724910728366
branch_Musophagidae,-0.09472327835023754,-0.09451367638539035,-0.6869851708003637,-0.6887375486921504,-0.7146312580420853,-0.715171829124205
branch_Otididae,-0.09500487401322578,-0.09451367638539035,-0.6864870841225973,-0.6887375486921504,-0.7139183204377301,-0.715171829124205
branch_Accipitriformes,-0.09103919955459855,-0.09131836265821612,-0.6916812492798691,-0.6918090738019051,-0.7162376713205143,-0.7157014235747282
branch_36,-0.09144524043522217,-0.09131836265821612,-0.6919576855181077,-0.6918090738019051,-0.7151391955275765,-0.7157014235747282
branch_37,-0.0912882235249447,-0.09125793600099673,-0.6922126585219205,-0.6919079080379151,-0.7165155259832167,-0.7165168135000919
branch_Cariamidae,-0.09091562360580878,-0.09125793600099673,-0.6917211561457193,-0.6919079080379151,-0.7165384861662669,-0.7165168135000919
branch_38,-0.09194373233396268,-0.09159175434266757,-0.6890847525224474,-0.689569464497482,-0.7165876808853486,-0.7158506098375327
branch_Gaviidae,-0.08914019080689617,-0.09159175434266757,-0.6891202451029601,-0.689569464497482,-0.7141510290522631,-0.7158506098375327
branch_Eurypygiformes,-0.09153187347501178,-0.09263313884048402,-0.6875168090573185,-0.6892760107204655,-0.7184760282580607,-0.7177096115673782
branch_Phaethontidae,-0.09052399064861417,-0.09263313884048402,-0.6863362913323694,-0.6892760107204655,-0.7201613139935953,-0.7177096115673782
branch_39,-0.09233725021998808,-0.09205364458292872,-0.6892433346577123,-0.6892881826313649,-0.7139665742281405,-0.7145252111941908
branch_40,-0.09124051920135817,-0.09205364458292872,-0.6888230553682675,-0.6892881826313649,-0.7147116637294039,-0.7145252111941908
branch_Burhinidae,-0.09278125920111036,-0.09311632004723136,-0.6849223731651074,-0.688463752785748,-0.7129143431709221,-0.715228592263793
branch_41,-0.09228760495026224,-0.09311632004723136,-0.6879615179449069,-0.688463752785748,-0.7154326282411837,-0.715228592263793
branch_Chionididae,-0.09229664745557518,-0.09311632004723136,-0.6845657815155877,-0.688463752785748,-0.7139921588910405,-0.715228592263793
branch_42,-0.09241035526981202,-0.09308954145548766,-0.6902524508060078,-0.6904101436269038,-0.7121779182176943,-0.7133492095352413
branch_Psophiidae,-0.09234614123977654,-0.09308954145548766,-0.6888144610277804,-0.6904101436269038,-0.7095837901600013,-0.7133492095352413
branch_Rallidae,-0.09050563484082297,-0.0916311365814322,-0.689824735153006,-0.6902188429069036,-0.7128759999473223,-0.7133423003361423
branch_Heliornithidae,-0.09023658388580505,-0.0916311365814322,-0.6893366899921071,-0.6902188429069036,-0.7103088338304796,-0.7133423003361423
branch_Apodiformes,-0.09396158568169949,-0.09387752654721492,-0.6886070410747522,-0.6886234747675137,-0.7173232235685715,-0.7170064516274562
branch_Podargidae,-0.09365029583876176,-0.09387752654721492,-0.6870343499304,-0.6886234747675137,-0.7169420013664635,-0.7170064516274562
branch_43,-0.09064025406377654,-0.09103919955459855,-0.6911863037701095,-0.6916812492798691,-0.7165297791642672,-0.7162376713205143
branch_Cathartidae,-0.08853791346662729,-0.09103919955459855,-0.6928097708243908,-0.6916812492798691,-0.7156511515664237,-0.7162376713205143
branch_44,-0.09168106693616795,-0.09144524043522217,-0.6922267517186308,-0.6919576855181077,-0.7148311134249121,-0.7151391955275765
branch_Strigiformes,-0.09059090498155274,-0.09144524043522217,-0.6917642392641159,-0.6919576855181077,-0.7152412310759187,-0.7151391955275765
branch_Falconidae,-0.0898346924318172,-0.0912882235249447,-0.6920757491708273,-0.6922126585219205,-0.716974857709509,-0.7165155259832167
branch_45,-0.09146530204306379,-0.0912882235249447,-0.6929451669349986,-0.6922126585219205,-0.7160013087151774,-0.7165155259832167
branch_46,-0.0918370822295798,-0.09194373233396268,-0.6891657036233682,-0.6890847525224474,-0.7164406051868079,-0.7165876808853486
branch_47,-0.09198449177225726,-0.09194373233396268,-0.6889299754961142,-0.6890847525224474,-0.7167443333673927,-0.7165876808853486
branch_Rhynochetidae,-0.09023525677632366,-0.09153187347501178,-0.6855941822914496,-0.6875168090573185,-0.7189703647690634,-0.7184760282580607
branch_Eurypygidae,-0.09053466857480809,-0.09153187347501178,-0.6859265372342688,-0.6875168090573185,-0.7199247156108345,-0.7184760282580607
branch_48,-0.09248662472062515,-0.09233725021998808,-0.68847748870696,-0.6892433346577123,-0.7137257324118723,-0.7139665742281405
branch_Turnicidae,-0.08986807605640218,-0.09233725021998808,-0.6878250407367172,-0.6892433346577123,-0.711347496883158,-0.7139665742281405
branch_49,-0.09078282984364563,-0.09124051920135817,-0.6888487542135432,-0.6888230553682675,-0.7142143376208702,-0.7147116637294039
branch_Scolopacidae,-0.0911383764694621,-0.09124051920135817,-0.6883052313181646,-0.6888230553682675,-0.7148775119298851,-0.7147116637294039
branch_Charadriidae,-0.09210843275189622,-0.09228760495026224,-0.68718356810033,-0.6879615179449069,-0.7149817017338155,-0.7154326282411837
branch_50,-0.09191416902507504,-0.09228760495026224,-0.6876330343600561,-0.6879615179449069,-0.7155705688326663,-0.7154326282411837
branch_Aramidae,-0.0917546732556573,-0.09241035526981202,-0.6897527880263473,-0.6902524508060078,-0.7094683518172445,-0.7121779182176943
branch_Gruidae,-0.0918379194725283,-0.09241035526981202,-0.6898941923532459,-0.6902524508060078,-0.7115191129889458,-0.7121779182176943
branch_Aegothelidae,-0.09520475769522985,-0.09396158568169949,-0.6858006391090796,-0.6886070410747522,-0.7179999576878326,-0.7173232235685715
branch_51,-0.09318541007063418,-0.09396158568169949,-0.688411004440374,-0.6886070410747522,-0.7175767059022026,-0.7173232235685715
branch_Sagittariidae,-0.08680155429295322,-0.09064025406377654,-0.6904778662917571,-0.6911863037701095,-0.7176117230923703,-0.7165297791642672
branch_Accipitridae,-0.08970089867747613,-0.09064025406377654,-0.6914145498756905,-0.6911863037701095,-0.7160756907330733,-0.7165297791642672
branch_Coliidae,-0.08879766191847416,-0.09168106693616795,-0.6931363913593673,-0.6922267517186308,-0.7148443681039987,-0.7148311134249121
branch_52,-0.09206574288333687,-0.09168106693616795,-0.692151277159352,-0.6922267517186308,-0.7140454597970594,-0.7148311134249121
branch_Strigidae,-0.09008013237638784,-0.09059090498155274,-0.6915238643368696,-0.6917642392641159,-0.7148988182869707,-0.7152412310759187
branch_Tytonidae,-0.08923474058544895,-0.09059090498155274,-0.6922660724313429,-0.6917642392641159,-0.7150310144667772,-0.7152412310759187
branch_Passeriformes,-0.0939441889998788,-0.09146530204306379,-0.6941651252269044,-0.6929451669349986,-0.7139846324521096,-0.7160013087151774
branch_53,-0.08946546102922862,-0.09146530204306379,-0.6904123504162408,-0.6929451669349986,-0.7189637856152007,-0.7160013087151774
branch_Ciconiidae,-0.09104831042236827,-0.0918370822295798,-0.6871682166946271,-0.6891657036233682,-0.7171635711348695,-0.7164406051868079
branch_54,-0.09141638890205912,-0.0918370822295798,-0.6895056247905264,-0.6891657036233682,-0.7160293359181484,-0.7164406051868079
branch_Procellariiformes,-0.09160253311244966,-0.09198449177225726,-0.688812249502207,-0.6889299754961142,-0.7171231600929205,-0.7167443333673927
branch_Spheniscidae,-0.09070599888050358,-0.09198449177225726,-0.6869037857763968,-0.6889299754961142,-0.7165324649025094,-0.7167443333673927
branch_55,-0.09227698752064586,-0.09248662472062515,-0.6883998742074948,-0.68847748870696,-0.7133112042850457,-0.7137257324118723
