,x,y,z,name,order,class,name_eng,order_eng,class_eng
Pontoporiidae,-522.9335283809114,-31688.75341048828,-23051.810494693065,Pontoporiidae,Artiodactyla,Mammalia,La Plata dolphin,"whales, hippos, ruminants, pigs, camels etc.",mammals
Iniidae,-527.1291588678947,-31688.01316892137,-23054.675345263942,Iniidae,Artiodactyla,Mammalia,Iniidae,"whales, hippos, ruminants, pigs, camels etc.",mammals
Eschrichtiidae,-527.5377889381928,-31686.54833794296,-23046.403030139325,Eschrichtiidae,Artiodactyla,Mammalia,gray whales,"whales, hippos, ruminants, pigs, camels etc.",mammals
Balaenopteridae,-530.5381894251611,-31686.2315762876,-23049.36564316671,Balaenopteridae,Artiodactyla,Mammalia,rorquals,"whales, hippos, ruminants, pigs, camels etc.",mammals
Balaenidae,-526.8253640325536,-31685.429168706,-23042.45157421538,Balaenidae,Artiodactyla,Mammalia,right whales,"whales, hippos, ruminants, pigs, camels etc.",mammals
Neobalaenidae,-530.7149188914013,-31684.99875526193,-23044.961673748763,Neobalaenidae,Artiodactyla,Mammalia,Neobalaenidae,"whales, hippos, ruminants, pigs, camels etc.",mammals
Hippopotamidae,-500.0390548312528,-31688.888927822703,-23047.106812658265,Hippopotamidae,Artiodactyla,Mammalia,hippopotamids,"whales, hippos, ruminants, pigs, camels etc.",mammals
Tupaiidae,-571.5904353993246,-31656.79803422408,-23043.9549618806,Tupaiidae,Scandentia,Mammalia,tree shrews,tree shrews,mammals
Lemuridae,-544.7444219679533,-31595.881058205072,-23030.06461460736,Lemuridae,Primates,Mammalia,lemurs,Primates,mammals
Indriidae,-539.6191063685361,-31595.365912251636,-23028.912714446746,Indriidae,Primates,Mammalia,Indriidae,Primates,mammals
Lepilemuridae,-545.2830730359318,-31600.899769954645,-23022.81923512177,Lepilemuridae,Primates,Mammalia,Sportive lemurs,Primates,mammals
Cheirogaleidae,-541.4988610561882,-31598.1321107094,-23024.623041163737,Cheirogaleidae,Primates,Mammalia,dwarf and mouse lemurs,Primates,mammals
Paleopropithecidae,-548.1347983213158,-31599.096454873605,-23027.06850064681,Paleopropithecidae,Primates,Mammalia,sloth lemurs,Primates,mammals
Daubentoniidae,-537.917866341264,-31590.8685549827,-23039.46267276988,Daubentoniidae,Primates,Mammalia,aye-ayes,Primates,mammals
